drug,probe,importance
Oxaliplatin,211073_x_at,0.024601435
Oxaliplatin,217747_s_at,0.024355732
Oxaliplatin,213738_s_at,0.023706524
Oxaliplatin,201306_s_at,0.023697294
Oxaliplatin,212039_x_at,0.02275986
Cisplatin,202071_at,0.1432833
Cisplatin,200765_x_at,0.069844656
Cisplatin,209135_at,0.045290083
Cisplatin,210519_s_at,0.044932395
Cisplatin,209008_x_at,0.031653874
Cisplatin,201468_s_at,0.031233145
Cisplatin,212414_s_at,0.026658928
Cisplatin,218309_at,0.025037957
Cisplatin,200837_at,0.023489578
Cisplatin,200618_at,0.022877606
Gemcitabine,212967_x_at,0.037856307
Gemcitabine,201336_at,0.036493033
Gemcitabine,201720_s_at,0.036018167
Gemcitabine,213864_s_at,0.034072988
Gemcitabine,218309_at,0.033507522
Gemcitabine,201721_s_at,0.030516138
Gemcitabine,209669_s_at,0.028178407
Gemcitabine,208965_s_at,0.028076224
Gemcitabine,200610_s_at,0.026499039
Gemcitabine,200016_x_at,0.025926052
Irinotecan,201336_at,0.061370574
Irinotecan,208808_s_at,0.060268246
Irinotecan,200872_at,0.050074175
Irinotecan,200765_x_at,0.042559482
Irinotecan,201596_x_at,0.032151036
Irinotecan,209008_x_at,0.028523397
Irinotecan,201468_s_at,0.028186005
Irinotecan,209337_at,0.026735574
Irinotecan,200661_at,0.025241315
Irinotecan,208949_s_at,0.024711533
Nutlin-3a (-),215785_s_at,0.15074359
Nutlin-3a (-),200823_x_at,0.062203888
Nutlin-3a (-),202071_at,0.044369992
Nutlin-3a (-),212414_s_at,0.042808183
Nutlin-3a (-),218007_s_at,0.038606305
Nutlin-3a (-),208796_s_at,0.038097057
Nutlin-3a (-),209644_x_at,0.03725008
Nutlin-3a (-),213738_s_at,0.030586217
Nutlin-3a (-),203453_at,0.027677475
Nutlin-3a (-),208956_x_at,0.024221577
123138,208816_x_at,0.08419769
123138,201798_s_at,0.07317733
123138,212294_at,0.03973228
123138,208718_at,0.035681628
123138,212414_s_at,0.03255431
123138,208248_x_at,0.027874885
123138,201590_x_at,0.024992784
123138,209135_at,0.024169143
123138,203510_at,0.023877382
123138,201336_at,0.023501778
123829,205542_at,0.03203243
123829,221558_s_at,0.03063708
123829,200041_s_at,0.02845989
123829,201114_x_at,0.028105045
123829,200981_x_at,0.027502857
123829,214709_s_at,0.026329208
123829,212281_s_at,0.025564007
123829,218109_s_at,0.024458047
123829,200610_s_at,0.024040112
123829,217918_at,0.023484256
150412,212294_at,0.07599253
150412,202686_s_at,0.06418701
150412,211509_s_at,0.03642909
150412,201289_at,0.03624364
150412,201471_s_at,0.029413056
150412,214280_x_at,0.02530521
150412,214629_x_at,0.024121163
150412,210968_s_at,0.023016205
150412,203910_at,0.021771768
150412,211945_s_at,0.020763276
5-azacytidine,203002_at,0.07985883
5-azacytidine,213603_s_at,0.034620993
5-azacytidine,200610_s_at,0.031977225
5-azacytidine,211073_x_at,0.030398881
5-azacytidine,201650_at,0.027669474
5-azacytidine,209120_at,0.026583776
5-azacytidine,201720_s_at,0.026185274
5-azacytidine,210427_x_at,0.025709018
5-azacytidine,200765_x_at,0.025618395
5-azacytidine,207738_s_at,0.025024882
50869,202381_at,0.06528465
50869,209135_at,0.056879397
50869,212294_at,0.05639597
50869,203910_at,0.04576021
50869,200663_at,0.031431902
50869,201960_s_at,0.02871504
50869,202503_s_at,0.02808083
50869,200661_at,0.026455158
50869,208704_x_at,0.02526573
50869,214629_x_at,0.02483772
615590,212294_at,0.10167675
615590,201798_s_at,0.03833472
615590,208718_at,0.03804783
615590,200073_s_at,0.032214522
615590,200677_at,0.030566925
615590,222154_s_at,0.029837769
615590,200765_x_at,0.027672792
615590,211509_s_at,0.027118096
615590,209083_at,0.024803767
615590,201590_x_at,0.024714908
630600,212414_s_at,0.061045896
630600,202957_at,0.055371366
630600,209135_at,0.052976273
630600,210519_s_at,0.046267815
630600,209008_x_at,0.03000916
630600,214214_s_at,0.029884959
630600,213603_s_at,0.027881734
630600,213503_x_at,0.025373707
630600,201243_s_at,0.02445869
630600,200005_at,0.024244027
667880,201798_s_at,0.119899474
667880,217728_at,0.054420397
667880,222154_s_at,0.040134907
667880,208949_s_at,0.034939915
667880,201584_s_at,0.027105404
667880,200923_at,0.026678458
667880,200839_s_at,0.024954777
667880,201944_at,0.024758771
667880,201385_at,0.024235118
667880,213503_x_at,0.022442158
720427,212294_at,0.11428943
720427,208683_at,0.083975814
720427,203910_at,0.041883662
720427,212039_x_at,0.03151997
720427,222154_s_at,0.027837444
720427,202686_s_at,0.02728947
720427,208718_at,0.024412235
720427,200765_x_at,0.02360784
720427,210844_x_at,0.022995252
720427,209135_at,0.022207921
729189,208683_at,0.048064537
729189,201798_s_at,0.04088672
729189,200089_s_at,0.039655898
729189,200765_x_at,0.03790122
729189,212414_s_at,0.037387006
729189,208718_at,0.036070403
729189,213080_x_at,0.034943193
729189,200763_s_at,0.03443915
729189,201596_x_at,0.030575875
729189,213801_x_at,0.029172117
741909,217997_at,0.042336557
741909,205479_s_at,0.042227622
741909,200080_s_at,0.037564993
741909,217996_at,0.0352764
741909,201925_s_at,0.034907784
741909,204602_at,0.032985177
741909,211972_x_at,0.03108052
741909,36711_at,0.027112158
741909,217717_s_at,0.026444575
741909,201669_s_at,0.025963908
743380,201051_at,0.049669664
743380,208764_s_at,0.04336095
743380,204602_at,0.043152113
743380,208856_x_at,0.038859993
743380,212039_x_at,0.037892487
743380,217997_at,0.030854067
743380,207508_at,0.030394332
743380,217996_at,0.02958078
743380,208796_s_at,0.027893096
743380,203107_x_at,0.027654387
765771,201798_s_at,0.099131726
765771,200765_x_at,0.044975407
765771,200673_at,0.0381358
765771,202157_s_at,0.037158743
765771,201590_x_at,0.033274036
765771,217918_at,0.031904846
765771,214280_x_at,0.030826347
765771,202071_at,0.029672367
765771,210844_x_at,0.029449228
765771,208816_x_at,0.029248545
776928,203002_at,0.08994235
776928,202458_at,0.08112064
776928,208703_s_at,0.047429178
776928,201596_x_at,0.036828145
776928,215034_s_at,0.035910502
776928,209008_x_at,0.029535878
776928,208704_x_at,0.029503288
776928,202071_at,0.028619058
776928,201960_s_at,0.025618944
776928,201302_at,0.024340108
A-366,201798_s_at,0.1006236
A-366,203002_at,0.054204628
