drug,feature,importance,type
Camptothecin,201468_s_at,0.029298512,expression
Camptothecin,218309_at,0.026527578,expression
Camptothecin,201254_x_at,0.02468028,expression
Camptothecin,213864_s_at,0.023924418,expression
Camptothecin,202503_s_at,0.022728128,expression
Camptothecin,211073_x_at,0.022634221,expression
5-Fluorouracil,200699_at,0.056761123,expression
5-Fluorouracil,200661_at,0.053813756,expression
5-Fluorouracil,201336_at,0.03773835,expression
5-Fluorouracil,201828_x_at,0.03353362,expression
5-Fluorouracil,200705_s_at,0.03121146,expression
5-Fluorouracil,201721_s_at,0.030483138,expression
5-Fluorouracil,200823_x_at,0.027059523,expression
5-Fluorouracil,201720_s_at,0.02598773,expression
5-Fluorouracil,200036_s_at,0.025112517,expression
5-Fluorouracil,213603_s_at,0.024212902,expression
Oxaliplatin,203002_at,0.11936982,expression
Oxaliplatin,201336_at,0.047136117,expression
Oxaliplatin,200673_at,0.046449956,expression
Oxaliplatin,202071_at,0.03807828,expression
Oxaliplatin,200705_s_at,0.025977926,expression
Oxaliplatin,211073_x_at,0.024601435,expression
Oxaliplatin,217747_s_at,0.024355732,expression
Oxaliplatin,213738_s_at,0.023706524,expression
Oxaliplatin,201306_s_at,0.023697294,expression
Oxaliplatin,212039_x_at,0.02275986,expression
Cisplatin,202071_at,0.1432833,expression
Cisplatin,200765_x_at,0.069844656,expression
Cisplatin,209135_at,0.045290083,expression
Cisplatin,210519_s_at,0.044932395,expression
Cisplatin,209008_x_at,0.031653874,expression
Cisplatin,201468_s_at,0.031233145,expression
Cisplatin,212414_s_at,0.026658928,expression
Cisplatin,218309_at,0.025037957,expression
Cisplatin,200837_at,0.023489578,expression
Cisplatin,200618_at,0.022877606,expression
Gemcitabine,212967_x_at,0.037856307,expression
Gemcitabine,201336_at,0.036493033,expression
Gemcitabine,201720_s_at,0.036018167,expression
Gemcitabine,213864_s_at,0.034072988,expression
Gemcitabine,218309_at,0.033507522,expression
Gemcitabine,201721_s_at,0.030516138,expression
Gemcitabine,209669_s_at,0.028178407,expression
Gemcitabine,208965_s_at,0.028076224,expression
Gemcitabine,200610_s_at,0.026499039,expression
Gemcitabine,200016_x_at,0.025926052,expression
Irinotecan,201336_at,0.061370574,expression
Irinotecan,208808_s_at,0.060268246,expression
Irinotecan,200872_at,0.050074175,expression
Irinotecan,200765_x_at,0.042559482,expression
Irinotecan,201596_x_at,0.032151036,expression
Irinotecan,209008_x_at,0.028523397,expression
Irinotecan,201468_s_at,0.028186005,expression
Irinotecan,209337_at,0.026735574,expression
Irinotecan,200661_at,0.025241315,expression
Irinotecan,208949_s_at,0.024711533,expression
Nutlin-3a (-),MUT_TP53,0.16548951,mutation
Nutlin-3a (-),215785_s_at,0.08335502,expression
Nutlin-3a (-),200823_x_at,0.051602893,expression
Nutlin-3a (-),201721_s_at,0.048621766,expression
Nutlin-3a (-),212414_s_at,0.042282857,expression
Nutlin-3a (-),203416_at,0.028561715,expression
Nutlin-3a (-),200099_s_at,0.02512446,expression
Nutlin-3a (-),202071_at,0.024055297,expression
Nutlin-3a (-),209644_x_at,0.023382759,expression
Nutlin-3a (-),1007_s_at,0.021563806,expression
123138,208816_x_at,0.08419769,expression
123138,201798_s_at,0.07317733,expression
123138,212294_at,0.03973228,expression
123138,208718_at,0.035681628,expression
123138,212414_s_at,0.03255431,expression
123138,208248_x_at,0.027874885,expression
123138,201590_x_at,0.024992784,expression
123138,209135_at,0.024169143,expression
123138,203510_at,0.023877382,expression
123138,201336_at,0.023501778,expression
123829,205542_at,0.031840414,expression
123829,201114_x_at,0.029650085,expression
123829,200981_x_at,0.026620114,expression
123829,214709_s_at,0.026321715,expression
123829,200041_s_at,0.026260609,expression
123829,200610_s_at,0.02595092,expression
123829,212519_at,0.025065985,expression
123829,212281_s_at,0.024768278,expression
123829,217918_at,0.024463719,expression
123829,200891_s_at,0.024281722,expression
150412,212294_at,0.07599253,expression
150412,202686_s_at,0.06418701,expression
150412,211509_s_at,0.03642909,expression
150412,201289_at,0.03624364,expression
150412,201471_s_at,0.029413056,expression
150412,214280_x_at,0.02530521,expression
150412,214629_x_at,0.024121163,expression
150412,210968_s_at,0.023016205,expression
150412,203910_at,0.021771768,expression
150412,211945_s_at,0.020763276,expression
5-azacytidine,203002_at,0.07985883,expression
5-azacytidine,213603_s_at,0.034620993,expression
5-azacytidine,200610_s_at,0.031977225,expression
5-azacytidine,211073_x_at,0.030398881,expression
5-azacytidine,201650_at,0.027669474,expression
5-azacytidine,209120_at,0.026583776,expression
5-azacytidine,201720_s_at,0.026185274,expression
5-azacytidine,210427_x_at,0.025709018,expression
5-azacytidine,200765_x_at,0.025618395,expression
5-azacytidine,207738_s_at,0.025024882,expression
50869,202381_at,0.06528465,expression
50869,209135_at,0.056879397,expression
50869,212294_at,0.05639597,expression
50869,203910_at,0.04576021,expression
50869,200663_at,0.031431902,expression
50869,201960_s_at,0.02871504,expression
50869,202503_s_at,0.02808083,expression
50869,200661_at,0.026455158,expression
50869,208704_x_at,0.02526573,expression
50869,214629_x_at,0.02483772,expression
615590,212294_at,0.10167675,expression
615590,201798_s_at,0.03833472,expression
615590,208718_at,0.03804783,expression
615590,200073_s_at,0.032214522,expression
615590,200677_at,0.030566925,expression
615590,222154_s_at,0.029837769,expression
615590,200765_x_at,0.027672792,expression
615590,211509_s_at,0.027118096,expression
615590,209083_at,0.024803767,expression
615590,201590_x_at,0.024714908,expression
630600,212414_s_at,0.061045896,expression
630600,202957_at,0.055371366,expression
630600,209135_at,0.052976273,expression
630600,210519_s_at,0.046267815,expression
630600,209008_x_at,0.03000916,expression
